Province Name,Latitude,Longitude
Antwerp,51.2198771,4.4011356
East Flanders,51.0678307,3.7290914
Flemish Brabant,50.8815197,4.6967578
Limburg,50.9215166,5.3447405
West Flanders,51.2093488,3.2247013
Hainaut,50.4542165,3.9566904
Liège,50.6350757,5.5628874
Luxembourg,49.6851364,5.8104804
Namur,50.4592670,4.8504571
Walloon Brabant,50.7158951,4.6128257
Brussels,50.8427501,4.3515499
